Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,ID,Height,Weight,Wingspan,Stading Reach,Vertical,Max Vert,Age,Birthday,Reaction Shuttle,Lane Agility,3/4 Sprint
93,Nae'Qwan Tomlin,Feb 20 '25 CLE @ BRK,24,2,48,797,125,262,21,95,46,62,67,154,43,32,29,18,99,317,0.477,0.221,0.742,16.6,6.6,3.2,0.9,0.7,0.6,tomlina01,80.25,205,7′ 2.50”,9′ 1.00”,27.5,32.5,23.4,12/19/00,3.54,11.63,3.43
39,PJ Hall,Nov 17 '24 DEN @ MEM,22,2,34,220,40,68,5,13,17,24,29,74,11,1,13,13,27,102,0.588,0.385,0.708,6.5,3,2.2,0.3,0,0.4,hallpj01,80.25,239.6,7′ 1.50”,8′ 7.50”,32.5,39.5,22.23,02/21/02,3.01,11.76,3.35
22,Tristan Da Silva,Oct 23 '24 ORL @ MIA,23,2,121,2678,352,841,148,424,87,101,104,397,170,74,30,95,153,939,0.419,0.349,0.861,22.1,7.8,3.3,1.4,0.6,0.2,dasiltr01,80.25,216.8,6′ 10.25”,8′ 8.50”,28.5,35.5,24,05/15/00,2.82,10.81,3.09
23,Pacome Dadiet,Oct 22 '24 NYK @ BOS,19,2,38,179,13,44,7,27,10,12,5,32,14,6,2,4,10,43,0.295,0.259,0.833,4.7,1.1,0.8,0.4,0.2,0.1,dadiepa01,79.75,216.8,6′ 9.00,8′ 11.5″,,,18.8,07/27/05,,,
50,Isaac Jones,Oct 28 '24 SAC vs. POR,24,2,44,322,56,87,3,10,24,38,24,59,13,5,10,16,34,139,0.644,0.3,0.632,7.3,3.2,1.3,0.3,0.1,0.2,jonesis01,79.75,235,7′ 3.00”,9′ 0.00”,29,35,23.84,07/11/00,3,11.49,3.38
36,Johnny Furphy,Oct 25 '24 IND @ NYK,20,2,85,1022,105,241,38,121,35,57,55,224,60,38,18,41,106,283,0.436,0.314,0.614,12,3.3,2.6,0.7,0.4,0.2,furphjo01,79.5,188.8,6′ 8.00”,8′ 8.50”,25.5,32,20.27,02/07/04,3.17,11.15,3.2
35,Enrique Freeman,Oct 23 '24 IND @ DET,24,2,23,185,16,37,1,10,13,19,11,32,9,3,3,6,21,46,0.432,0.1,0.684,8,2,1.4,0.4,0.1,0.1,freemen01,79.25,212,7′ 2.00”,9′ 0.00”,30.5,35,23.79,07/29/00,3.04,10.99,3.26
37,Kyshawn George,Oct 24 '24 WAS vs. BOS,21,2,110,3074,432,1062,203,589,156,203,88,514,373,113,88,214,361,1223,0.407,0.345,0.768,27.9,11.1,4.7,3.4,1,0.8,georgky01,79,208.8,6′ 10.25”,8′ 9.00”,27,32,20.42,12/12/03,2.91,11.9,3.32
7,Jalen Bridges,Nov 13 '24 PHO @ SAC,23,1,8,30,2,7,2,7,3,4,0,4,0,0,0,4,0,9,0.286,0.286,0.75,3.8,1.1,0.5,0,0,0,bridgja01,78.75,213.4,6′ 10.00”,8′ 9.00”,25,32,23,05/14/01,3,11.14,3.16
101,Jaylen Wells,Oct 23 '24 MEM @ UTA,21,2,130,3413,497,1190,227,658,214,270,136,445,221,85,13,127,255,1435,0.418,0.345,0.793,26.3,11,3.4,1.7,0.7,0.1,wellsja01,78.5,206.2,6′ 7.25”,8′ 7.50”,27.5,36,20.72,08/26/03,3.03,11.28,3.08
41,Ron Holland,Oct 23 '24 DET vs. IND,19,2,130,2282,342,767,66,282,170,221,92,431,152,116,35,138,250,920,0.446,0.234,0.769,17.6,7.1,3.3,1.2,0.9,0.3,hollaro01,78.5,196.8,6′ 10.75”,8′ 8.00”,30,38,18.85,07/07/05,2.91,11.1,3.1
34,Trentyn Flowers,Dec 4 '24 LAC vs. MIN,19,2,8,33,6,14,0,3,3,3,2,5,1,0,0,2,5,15,0.429,0,1,4.1,1.9,0.6,0.1,0,0,flowetr01,78.5,201.4,6′ 8.25”,8′ 4.50”,34.5,42,19.18,03/08/05,3,11.01,3.13
82,Baylor Scheierman,Oct 24 '24 BOS @ WAS,24,2,79,1066,101,250,67,186,21,26,41,197,82,44,6,33,88,290,0.404,0.36,0.808,13.5,3.7,2.5,1,0.6,0.1,scheiba01,78.25,201.6,6′ 8.25”,8′ 6.50”,27.5,32,23.63,09/26/00,2.94,10.89,3.09
68,Jonathan Mogbo,Oct 23 '24 TOR vs. CLE,23,2,86,1425,170,384,17,70,62,87,121,348,156,59,38,76,149,419,0.443,0.243,0.713,16.6,4.9,4,1.8,0.7,0.4,mogbojo01,78.25,217.2,7′ 2.00”,9′ 0.50”,31.5,37.5,22.54,10/29/01,3.07,11.14,3.02
48,Keshad Johnson,Dec 2 '24 MIA @ BOS,23,2,37,257,41,83,10,30,17,26,21,67,6,10,8,13,27,109,0.494,0.333,0.654,6.9,2.9,1.8,0.2,0.3,0.2,johnske10,78.25,224,6′ 10.25”,8′ 7.00”,31.5,42,22.89,06/23/01,3.02,11.38,3.03
28,Ryan Dunn,Oct 23 '24 PHO @ LAC,22,2,120,2305,315,729,119,378,37,67,160,455,128,86,59,83,261,786,0.432,0.315,0.552,19.2,6.6,3.8,1.1,0.7,0.5,dunnry01,78.25,213.6,7′ 1.50”,8′ 7.00”,32,38.5,21.35,01/07/03,2.88,10.99,3.12
31,Justin Edwards,Nov 24 '24 PHI vs. LAC,21,2,84,1725,238,542,106,297,53,69,63,208,112,72,24,73,159,635,0.439,0.357,0.768,20.5,7.6,2.5,1.3,0.9,0.3,edwarju01,78,209.4,6′ 10.00”,8′ 6.50”,28,32.5,20.41,12/16/03,3.22,12.07,3.18
83,Terrence Shannon Jr.,Nov 2 '24 MIN @ SAS,24,2,54,621,87,195,26,68,38,48,16,75,46,14,6,30,56,238,0.446,0.382,0.792,11.5,4.4,1.4,0.9,0.3,0.1,shannte01,77.75,219.4,6′ 8.75”,8′ 4.00”,,,23.79,07/30/00,,,
96,Jaylon Tyson,Oct 23 '24 CLE @ TOR,22,2,96,1821,325,655,124,276,79,104,137,361,158,55,23,104,179,853,0.496,0.449,0.76,19,8.9,3.8,1.6,0.6,0.2,tysonja01,77.5,218.2,6′ 8.00”,8′ 6.50”,29.5,36.5,21.45,12/02/02,3.06,11.13,3.12
13,Stephon Castle,Oct 24 '24 SAS @ DAL,20,2,123,3456,668,1513,141,492,431,596,140,514,628,132,36,323,306,1908,0.442,0.287,0.723,28.1,15.5,4.2,5.1,1.1,0.3,castlst01,77.5,210,6′ 9.00”,8′ 6.00”,28.5,37,19.54,11/01/04,2.91,10.93,3.19
55,Dalton Knecht,Oct 22 '24 LAL vs. MIN,23,2,119,1966,329,719,158,436,77,102,49,275,80,33,17,55,131,893,0.458,0.362,0.755,16.5,7.5,2.3,0.7,0.3,0.1,knechda01,77.25,212.2,6′ 9.00”,8′ 7.50”,31,39,23.07,04/19/01,2.79,10.56,3.07
44,Harrison Ingram,Nov 6 '24 SAS @ HOU,22,2,9,48,5,8,1,2,0,0,5,12,3,3,0,1,4,11,0.625,0.5,,5.3,1.2,1.3,0.3,0.3,0,ingraha01,77.25,233.6,7′ 0.25”,8′ 6.50”,29,35,21.46,11/27/02,2.94,11.36,3.17
62,Kevin McCullar Jr.,Mar 25 '25 NYK vs. DAL,23,2,19,142,13,36,6,17,4,7,8,31,21,6,1,11,24,36,0.361,0.353,0.571,7.5,1.9,1.6,1.1,0.3,0.1,mcculke01,77.25,205.8,6′ 9.00”,8′ 7.00”,,,23.16,03/15/01,,,
57,Pelle Larsson,Oct 23 '24 MIA vs. ORL,23,2,100,1859,254,536,74,221,130,177,64,242,213,61,17,74,174,712,0.474,0.335,0.734,18.6,7.1,2.4,2.1,0.6,0.2,larsspe01,77.25,212.4,6′ 7.50”,8′ 6.00”,30.5,38,23.23,02/23/01,2.91,11.15,3.06
76,Antonio Reeves,Oct 23 '24 NOP vs. CHI,24,2,51,716,121,264,56,139,28,35,19,68,41,22,4,30,43,326,0.458,0.403,0.8,14,6.4,1.3,0.8,0.4,0.1,reevean01,76.5,186.6,6′ 8.25”,8′ 4.50”,29,36,23.48,11/20/00,3.16,11.44,3.14
15,Cam Christie,Dec 4 '24 LAC vs. MIN,19,2,50,433,50,131,14,55,34,46,15,70,28,14,4,18,21,148,0.382,0.255,0.739,8.7,3,1.4,0.6,0.3,0.1,chrisca02,76.5,190.4,6′ 8.00”,8′ 5.50”,32.5,35.5,18.81,07/24/05,2.95,11.07,3.07
49,Dillon Jones,Oct 24 '24 OKC @ DEN,23,2,57,566,52,136,17,65,17,28,31,124,59,17,4,28,56,138,0.382,0.262,0.607,9.9,2.4,2.2,1,0.3,0.1,jonesdi01,76.5,236.8,6′ 11.00”,8′ 4.50”,26.5,33.5,22.54,10/29/01,2.82,11.08,3.25
47,AJ Johnson,Oct 23 '24 MIL @ PHI,20,2,55,860,109,300,31,117,41,49,16,90,99,19,3,53,65,290,0.363,0.265,0.837,15.6,5.3,1.6,1.8,0.3,0.1,johnsaj01,76.25,167,6′ 8.50”,8′ 6.00”,29,38,19.45,12/01/04,2.87,10.76,3.15
98,Ja'Kobe Walter,Nov 1 '24 TOR vs. LAL,20,2,96,1911,255,616,114,326,102,128,89,255,123,83,17,73,185,726,0.414,0.35,0.797,19.9,7.6,2.7,1.3,0.9,0.2,walteja01,76.25,197.6,6′ 10.00”,8′ 6.50”,30.5,38.5,19.69,09/04/04,2.92,11,3.04
67,Ajay Mitchell,Oct 24 '24 OKC @ DEN,22,2,79,1726,313,640,71,197,143,166,47,217,221,86,18,97,161,840,0.489,0.36,0.861,21.8,10.6,2.7,2.8,1.1,0.2,mitchaj01,75.25,197,6′ 6.25”,8′ 5.00”,28,33.5,21.89,06/25/02,2.95,11.12,3.11
1,Trey Alexander,Oct 24 '24 DEN vs. OKC,21,2,29,159,19,50,5,20,3,4,1,16,16,3,2,6,14,46,0.38,0.25,0.75,5.5,1.6,0.6,0.6,0.1,0.1,alexatr01,75.25,187,6′ 10.50”,8′ 5.50”,26.5,32,21.03,05/02/03,2.92,11.37,3.21
69,Tristen Newton,Nov 18 '24 IND @ TOR,23,1,8,16,1,8,0,3,1,1,2,4,2,1,0,2,4,3,0.125,0,1,2,0.4,0.5,0.3,0.1,0,newtotr01,75.25,191.8,6′ 6.75”,8′ 4.00”,25,32.5,23.05,04/26/01,2.84,10.96,3.24
90,Cam Spencer,Nov 20 '24 MEM vs. PHI,24,2,75,1460,227,481,129,295,113,120,37,164,312,44,6,82,97,696,0.472,0.437,0.942,19.5,9.3,2.2,4.2,0.6,0.1,spencca01,75,201.8,6′ 5.00”,8′ 2.50”,23,30.5,24.11,04/06/00,3,11.07,3.35
18,Isaiah Collier,Nov 7 '24 UTA @ MIL,20,2,117,3002,412,904,62,241,201,294,51,357,779,110,30,320,257,1087,0.456,0.257,0.684,25.7,9.3,3.1,6.7,0.9,0.3,colliis01,74.5,204.6,6′ 4.75”,8′ 1.50”,30,34,19.6,10/08/04,2.9,10.77,3.04
12,Devin Carter,Jan 3 '25 SAC vs. MEM,22,2,55,634,86,225,26,103,43,65,30,115,75,33,8,35,62,241,0.382,0.252,0.662,11.5,4.4,2.1,1.4,0.6,0.1,cartede02,74.25,193,6′ 8.75”,8′ 2.00”,35,42,22.16,03/18/02,2.9,10.63,2.87
61,Jared McCain,Oct 23 '24 PHI vs. MIL,20,2,62,1240,220,517,98,257,71,81,21,136,123,37,2,69,82,609,0.426,0.381,0.877,20,9.8,2.2,2,0.6,0,mccaija01,74,203.2,6′ 3.50”,8′ 2.00”,25.5,33,20.23,02/20/04,3.07,10.87,3.23
85,Reed Sheppard,Oct 23 '24 HOU vs. CHO,20,2,103,1910,321,801,167,457,58,74,32,207,226,108,45,101,153,867,0.401,0.365,0.784,18.5,8.4,2,2.2,1,0.4,sheppre01,73.75,181.6,6′ 3.25”,7′ 9.50”,32.5,42,19.89,06/24/04,3.03,10.96,3.08
45,Bronny James,Oct 22 '24 LAL vs. MIN,20,2,54,365,40,116,18,56,15,19,8,30,51,20,4,25,26,113,0.345,0.321,0.789,6.8,2.1,0.6,0.9,0.4,0.1,jamesbr02,73.5,210.4,6′ 7.25”,8′ 2.50”,32,40.5,19.61,10/06/04,3.02,10.96,3.09
5,Reece Beekman,Oct 29 '24 GSW vs. NOP,23,1,36,469,35,107,7,40,16,21,13,39,63,33,2,21,36,93,0.327,0.175,0.762,13,2.6,1.1,1.8,0.9,0.1,beekmre01,73.25,196.4,6′ 6.50”,8′ 4.00”,30,36.5,22.6,10/08/01,3.08,10.86,2.94
56,Tyler Kolek,Oct 22 '24 NYK @ BOS,23,2,87,923,119,298,49,143,25,35,22,114,208,31,7,68,87,312,0.399,0.343,0.714,10.6,3.6,1.3,2.4,0.4,0.1,kolekty01,73.25,196.6,6′ 2.75”,7′ 11.00”,27,34,23.13,03/27/01,3.08,10.97,3.27
26,Rob Dillingham,Nov 2 '24 MIN @ SAS,20,2,86,886,147,369,38,111,25,37,20,101,161,42,4,93,76,357,0.398,0.342,0.676,10.3,4.2,1.2,1.9,0.5,0,dilliro01,73,164.2,6′ 3.00”,7′ 11.00”,,,19.36,01/04/05,,,
84,Jamal Shead,Oct 23 '24 TOR vs. CLE,22,2,129,2668,331,849,133,410,113,148,48,217,610,111,19,191,267,908,0.39,0.324,0.764,20.7,7,1.7,4.7,0.9,0.1,sheadja01,72.25,200.8,6′ 3.00”,8′ 0.00”,30,37.5,21.81,07/24/02,2.87,10.87,2.94
86,KJ Simpson,Nov 4 '24 CHO @ MIN,22,2,50,1065,135,390,45,169,51,66,44,138,147,49,6,80,70,366,0.346,0.266,0.773,21.3,7.3,2.8,2.9,1,0.1,simpskj01,72.25,187,6′ 4.50”,7′ 9.50”,32.5,40.5,21.77,08/08/02,2.98,10.49,3.24
