Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Stading Reach,Vertical,Max Vert,Age,Birthday,Reaction Shuttle,Lane Agility,3/4 Sprint
24,N'Faly Dante,Mar 3 '25 HOU @ OKC,23,2,8,8.25,1.38,2.13,0.00,0.00,0.63,0.75,1.13,3.50,0.25,0.38,0.63,0.38,1.25,3.38,nfalyda01,82,260.2,90,111,27,33,22.57,10/19/01,3.04,11.55,3.23
43,Oso Ighodaro,Oct 23 '24 PHO @ LAC,22,2,114,18.48,2.10,3.43,0.00,0.03,0.56,1.06,1.24,4.02,1.44,0.68,0.52,0.94,2.08,4.75,ighodos01,81.5,222,83,104.5,35,39.5,21.87,07/02/02,3.12,11.25,3.09
89,Tyler Smith,Oct 23 '24 MIL @ PHI,20,1,23,5.30,1.04,2.17,0.57,1.30,0.26,0.35,0.26,1.09,0.17,0.13,0.17,0.35,0.48,2.91,smithty02,81,223.8,85,105,32,38,19.53,11/02/04,2.99,10.74,3.28
54,Bobi Klintman,Jan 8 '25 DET @ BRK,21,2,16,6.38,0.81,2.00,0.31,1.00,0.06,0.31,0.38,1.50,0.69,0.25,0.06,0.38,1.13,2.00,klintbo01,80.75,212.2,83,106.5,26.5,32.5,21.19,03/05/03,3.21,11.49,3.23
9,Matas Buzelis,Oct 23 '24 CHI @ NOP,20,2,134,22.66,4.07,8.75,1.54,4.20,1.57,1.99,0.84,4.22,1.41,0.48,1.15,1.31,1.93,11.25,buzelma01,80.75,197,82,105.5,31,38,19.59,10/13/04,2.9,10.73,3.09
80,Tidjane Salaün,Oct 26 '24 CHO vs. MIA,19,2,91,19.13,2.05,5.34,0.98,3.02,0.97,1.36,1.03,4.56,1.10,0.45,0.23,0.90,1.45,6.05,salauti01,80.75,217.4,85.5,110,,32,18.76,08/10/05,,,
77,Zaccharie Risacher,Oct 23 '24 ATL vs. BRK,19,2,116,24.47,4.54,9.97,1.59,4.51,1.22,1.77,1.04,3.53,1.27,0.77,0.51,1.14,2.04,11.90,risacza01,80.5,195,81.5,107,,31,19.1,04/08/05,,,
6,Adem Bona,Oct 23 '24 PHI vs. MIL,21,2,102,15.86,1.98,3.01,0.02,0.06,1.11,1.66,1.66,4.08,0.36,0.40,1.24,0.91,2.14,5.09,bonaad01,80.25,243.2,87.75,108,35,40,21.13,03/28/03,3.01,11.01,3.15
93,Nae'Qwan Tomlin,Feb 20 '25 CLE @ BRK,24,2,48,16.60,2.60,5.46,0.44,1.98,0.96,1.29,1.40,3.21,0.90,0.67,0.60,0.38,2.06,6.60,tomlina01,80.25,205,86.5,109,27.5,32.5,23.4,12/19/00,3.54,11.63,3.43
39,PJ Hall,Nov 17 '24 DEN @ MEM,22,2,34,6.47,1.18,2.00,0.15,0.38,0.50,0.71,0.85,2.18,0.32,0.03,0.38,0.38,0.79,3.00,hallpj01,80.25,239.6,85.5,103.5,32.5,39.5,22.23,02/21/02,3.01,11.76,3.35
22,Tristan Da Silva,Oct 23 '24 ORL @ MIA,23,2,121,22.13,2.91,6.95,1.22,3.50,0.72,0.83,0.86,3.28,1.40,0.61,0.25,0.79,1.26,7.76,dasiltr01,80.25,216.8,82.25,104.5,28.5,35.5,24,05/15/00,2.82,10.81,3.09
23,Pacome Dadiet,Oct 22 '24 NYK @ BOS,19,2,38,4.71,0.34,1.16,0.18,0.71,0.26,0.32,0.13,0.84,0.37,0.16,0.05,0.11,0.26,1.13,dadiepa01,79.75,216.8,81,107.5,,,18.8,07/27/05,,,
50,Isaac Jones,Oct 28 '24 SAC vs. POR,24,2,44,7.32,1.27,1.98,0.07,0.23,0.55,0.86,0.55,1.34,0.30,0.11,0.23,0.36,0.77,3.16,jonesis01,79.75,235,87,108,29,35,23.84,07/11/00,3,11.49,3.38
36,Johnny Furphy,Oct 25 '24 IND @ NYK,20,2,85,12.02,1.24,2.84,0.45,1.42,0.41,0.67,0.65,2.64,0.71,0.45,0.21,0.48,1.25,3.33,furphjo01,79.5,188.8,80,104.5,25.5,32,20.27,02/07/04,3.17,11.15,3.2
35,Enrique Freeman,Oct 23 '24 IND @ DET,24,2,23,8.04,0.70,1.61,0.04,0.43,0.57,0.83,0.48,1.39,0.39,0.13,0.13,0.26,0.91,2.00,freemen01,79.25,212,86,108,30.5,35,23.79,07/29/00,3.04,10.99,3.26
37,Kyshawn George,Oct 24 '24 WAS vs. BOS,21,2,110,27.95,3.93,9.65,1.85,5.35,1.42,1.85,0.80,4.67,3.39,1.03,0.80,1.95,3.28,11.12,georgky01,79,208.8,82.25,105,27,32,20.42,12/12/03,2.91,11.9,3.32
7,Jalen Bridges,Nov 13 '24 PHO @ SAC,23,1,8,3.75,0.25,0.88,0.25,0.88,0.38,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.00,1.13,bridgja01,78.75,213.4,82,105,25,32,23,05/14/01,3,11.14,3.16
101,Jaylen Wells,Oct 23 '24 MEM @ UTA,21,2,130,26.25,3.82,9.15,1.75,5.06,1.65,2.08,1.05,3.42,1.70,0.65,0.10,0.98,1.96,11.04,wellsja01,78.5,206.2,79.25,103.5,27.5,36,20.72,08/26/03,3.03,11.28,3.08
41,Ron Holland,Oct 23 '24 DET vs. IND,19,2,130,17.55,2.63,5.90,0.51,2.17,1.31,1.70,0.71,3.32,1.17,0.89,0.27,1.06,1.92,7.08,hollaro01,78.5,196.8,82.75,104,30,38,18.85,07/07/05,2.91,11.1,3.1
34,Trentyn Flowers,Dec 4 '24 LAC vs. MIN,19,2,8,4.13,0.75,1.75,0.00,0.38,0.38,0.38,0.25,0.63,0.13,0.00,0.00,0.25,0.63,1.88,flowetr01,78.5,201.4,80.25,100.5,34.5,42,19.18,03/08/05,3,11.01,3.13
82,Baylor Scheierman,Oct 24 '24 BOS @ WAS,24,2,79,13.49,1.28,3.16,0.85,2.35,0.27,0.33,0.52,2.49,1.04,0.56,0.08,0.42,1.11,3.67,scheiba01,78.25,201.6,80.25,102.5,27.5,32,23.63,09/26/00,2.94,10.89,3.09
68,Jonathan Mogbo,Oct 23 '24 TOR vs. CLE,23,2,86,16.57,1.98,4.47,0.20,0.81,0.72,1.01,1.41,4.05,1.81,0.69,0.44,0.88,1.73,4.87,mogbojo01,78.25,217.2,86,108.5,31.5,37.5,22.54,10/29/01,3.07,11.14,3.02
48,Keshad Johnson,Dec 2 '24 MIA @ BOS,23,2,37,6.95,1.11,2.24,0.27,0.81,0.46,0.70,0.57,1.81,0.16,0.27,0.22,0.35,0.73,2.95,johnske10,78.25,224,82.25,103,31.5,42,22.89,06/23/01,3.02,11.38,3.03
28,Ryan Dunn,Oct 23 '24 PHO @ LAC,22,2,120,19.21,2.63,6.08,0.99,3.15,0.31,0.56,1.33,3.79,1.07,0.72,0.49,0.69,2.18,6.55,dunnry01,78.25,213.6,85.5,103,32,38.5,21.35,01/07/03,2.88,10.99,3.12
31,Justin Edwards,Nov 24 '24 PHI vs. LAC,21,2,84,20.54,2.83,6.45,1.26,3.54,0.63,0.82,0.75,2.48,1.33,0.86,0.29,0.87,1.89,7.56,edwarju01,78,209.4,82,102.5,28,32.5,20.41,12/16/03,3.22,12.07,3.18
83,Terrence Shannon Jr.,Nov 2 '24 MIN @ SAS,24,2,54,11.50,1.61,3.61,0.48,1.26,0.70,0.89,0.30,1.39,0.85,0.26,0.11,0.56,1.04,4.41,shannte01,77.75,219.4,80.75,100,,,23.79,07/30/00,,,
96,Jaylon Tyson,Oct 23 '24 CLE @ TOR,22,2,96,18.97,3.39,6.82,1.29,2.88,0.82,1.08,1.43,3.76,1.65,0.57,0.24,1.08,1.86,8.89,tysonja01,77.5,218.2,80,102.5,29.5,36.5,21.45,12/02/02,3.06,11.13,3.12
13,Stephon Castle,Oct 24 '24 SAS @ DAL,20,2,123,28.10,5.43,12.30,1.15,4.00,3.50,4.85,1.14,4.18,5.11,1.07,0.29,2.63,2.49,15.51,castlst01,77.5,210,81,102,28.5,37,19.54,11/01/04,2.91,10.93,3.19
55,Dalton Knecht,Oct 22 '24 LAL vs. MIN,23,2,119,16.52,2.76,6.04,1.33,3.66,0.65,0.86,0.41,2.31,0.67,0.28,0.14,0.46,1.10,7.50,knechda01,77.25,212.2,81,103.5,31,39,23.07,04/19/01,2.79,10.56,3.07
44,Harrison Ingram,Nov 6 '24 SAS @ HOU,22,2,9,5.33,0.56,0.89,0.11,0.22,0.00,0.00,0.56,1.33,0.33,0.33,0.00,0.11,0.44,1.22,ingraha01,77.25,233.6,84.25,102.5,29,35,21.46,11/27/02,2.94,11.36,3.17
62,Kevin McCullar Jr.,Mar 25 '25 NYK vs. DAL,23,2,19,7.47,0.68,1.89,0.32,0.89,0.21,0.37,0.42,1.63,1.11,0.32,0.05,0.58,1.26,1.89,mcculke01,77.25,205.8,81,103,,,23.16,03/15/01,,,
57,Pelle Larsson,Oct 23 '24 MIA vs. ORL,23,2,100,18.59,2.54,5.36,0.74,2.21,1.30,1.77,0.64,2.42,2.13,0.61,0.17,0.74,1.74,7.12,larsspe01,77.25,212.4,79.5,102,30.5,38,23.23,02/23/01,2.91,11.15,3.06
76,Antonio Reeves,Oct 23 '24 NOP vs. CHI,24,2,51,14.04,2.37,5.18,1.10,2.73,0.55,0.69,0.37,1.33,0.80,0.43,0.08,0.59,0.84,6.39,reevean01,76.5,186.6,80.25,100.5,29,36,23.48,11/20/00,3.16,11.44,3.14
15,Cam Christie,Dec 4 '24 LAC vs. MIN,19,2,50,8.66,1.00,2.62,0.28,1.10,0.68,0.92,0.30,1.40,0.56,0.28,0.08,0.36,0.42,2.96,chrisca02,76.5,190.4,80,101.5,32.5,35.5,18.81,07/24/05,2.95,11.07,3.07
49,Dillon Jones,Oct 24 '24 OKC @ DEN,23,2,57,9.93,0.91,2.39,0.30,1.14,0.30,0.49,0.54,2.18,1.04,0.30,0.07,0.49,0.98,2.42,jonesdi01,76.5,236.8,83,100.5,26.5,33.5,22.54,10/29/01,2.82,11.08,3.25
47,AJ Johnson,Oct 23 '24 MIL @ PHI,20,2,55,15.64,1.98,5.45,0.56,2.13,0.75,0.89,0.29,1.64,1.80,0.35,0.05,0.96,1.18,5.27,johnsaj01,76.25,167,80.5,102,29,38,19.45,12/01/04,2.87,10.76,3.15
98,Ja'Kobe Walter,Nov 1 '24 TOR vs. LAL,20,2,96,19.91,2.66,6.42,1.19,3.40,1.06,1.33,0.93,2.66,1.28,0.86,0.18,0.76,1.93,7.56,walteja01,76.25,197.6,82,102.5,30.5,38.5,19.69,09/04/04,2.92,11,3.04
67,Ajay Mitchell,Oct 24 '24 OKC @ DEN,22,2,79,21.85,3.96,8.10,0.90,2.49,1.81,2.10,0.59,2.75,2.80,1.09,0.23,1.23,2.04,10.63,mitchaj01,75.25,197,78.25,101,28,33.5,21.89,06/25/02,2.95,11.12,3.11
1,Trey Alexander,Oct 24 '24 DEN vs. OKC,21,2,29,5.48,0.66,1.72,0.17,0.69,0.10,0.14,0.03,0.55,0.55,0.10,0.07,0.21,0.48,1.59,alexatr01,75.25,187,82.5,101.5,26.5,32,21.03,05/02/03,2.92,11.37,3.21
69,Tristen Newton,Nov 18 '24 IND @ TOR,23,1,8,2.00,0.13,1.00,0.00,0.38,0.13,0.13,0.25,0.50,0.25,0.13,0.00,0.25,0.50,0.38,newtotr01,75.25,191.8,78.75,100,25,32.5,23.05,04/26/01,2.84,10.96,3.24
90,Cam Spencer,Nov 20 '24 MEM vs. PHI,24,2,75,19.47,3.03,6.41,1.72,3.93,1.51,1.60,0.49,2.19,4.16,0.59,0.08,1.09,1.29,9.28,spencca01,75,201.8,77,98.5,23,30.5,24.11,04/06/00,3,11.07,3.35
18,Isaiah Collier,Nov 7 '24 UTA @ MIL,20,2,117,25.66,3.52,7.73,0.53,2.06,1.72,2.51,0.44,3.05,6.66,0.94,0.26,2.74,2.20,9.29,colliis01,74.5,204.6,76.75,97.5,30,34,19.6,10/08/04,2.9,10.77,3.04
12,Devin Carter,Jan 3 '25 SAC vs. MEM,22,2,55,11.53,1.56,4.09,0.47,1.87,0.78,1.18,0.55,2.09,1.36,0.60,0.15,0.64,1.13,4.38,cartede02,74.25,193,80.75,98,35,42,22.16,03/18/02,2.9,10.63,2.87
61,Jared McCain,Oct 23 '24 PHI vs. MIL,20,2,62,20.00,3.55,8.34,1.58,4.15,1.15,1.31,0.34,2.19,1.98,0.60,0.03,1.11,1.32,9.82,mccaija01,74,203.2,75.5,98,25.5,33,20.23,02/20/04,3.07,10.87,3.23
85,Reed Sheppard,Oct 23 '24 HOU vs. CHO,20,2,103,18.54,3.12,7.78,1.62,4.44,0.56,0.72,0.31,2.01,2.19,1.05,0.44,0.98,1.49,8.42,sheppre01,73.75,181.6,75.25,93.5,32.5,42,19.89,06/24/04,3.03,10.96,3.08
45,Bronny James,Oct 22 '24 LAL vs. MIN,20,2,54,6.76,0.74,2.15,0.33,1.04,0.28,0.35,0.15,0.56,0.94,0.37,0.07,0.46,0.48,2.09,jamesbr02,73.5,210.4,79.25,98.5,32,40.5,19.61,10/06/04,3.02,10.96,3.09
5,Reece Beekman,Oct 29 '24 GSW vs. NOP,23,1,36,13.03,0.97,2.97,0.19,1.11,0.44,0.58,0.36,1.08,1.75,0.92,0.06,0.58,1.00,2.58,beekmre01,73.25,196.4,78.5,100,30,36.5,22.6,10/08/01,3.08,10.86,2.94
56,Tyler Kolek,Oct 22 '24 NYK @ BOS,23,2,87,10.61,1.37,3.43,0.56,1.64,0.29,0.40,0.25,1.31,2.39,0.36,0.08,0.78,1.00,3.59,kolekty01,73.25,196.6,74.75,95,27,34,23.13,03/27/01,3.08,10.97,3.27
26,Rob Dillingham,Nov 2 '24 MIN @ SAS,20,2,86,10.30,1.71,4.29,0.44,1.29,0.29,0.43,0.23,1.17,1.87,0.49,0.05,1.08,0.88,4.15,dilliro01,73,164.2,75,95,,,19.36,01/04/05,,,
84,Jamal Shead,Oct 23 '24 TOR vs. CLE,22,2,129,20.68,2.57,6.58,1.03,3.18,0.88,1.15,0.37,1.68,4.73,0.86,0.15,1.48,2.07,7.04,sheadja01,72.25,200.8,75,96,30,37.5,21.81,07/24/02,2.87,10.87,2.94
86,KJ Simpson,Nov 4 '24 CHO @ MIN,22,2,50,21.30,2.70,7.80,0.90,3.38,1.02,1.32,0.88,2.76,2.94,0.98,0.12,1.60,1.40,7.32,simpskj01,72.25,187,76.5,93.5,32.5,40.5,21.77,08/08/02,2.98,10.49,3.24
